"author","title","year","evidence_type","comments","manual_tags","citekey","evidence_pro","evidence_con","opinion_pro","opinion_con_buts"
"Allee, Kristian D.; Deangelis, Matthew D.; Moon, James R.","Disclosure ""Scriptability""","2018","anecdotal",NA,"include; note","allee2018","""Consistent with the registered report process, the only changes to our study from the accepted stage one proposal are reported in online appendix F.""",NA,NA,NA
"Allee, Kristian D.; Deangelis, Matthew D.; Moon, James R.","Disclosure ""Scriptability""","2018","anecdotal",NA,"include; note","allee2018"," ""The registered report process requires us to clearly distinguish between planned ...  and unplanned analyses""",NA,NA,NA
"Allee, Kristian D.; Deangelis, Matthew D.; Moon, James R.","Disclosure ""Scriptability""","2018","anecdotal",NA,"include; note","allee2018",NA,NA,NA,NA
"Anonymous","Promoting reproducibility with registered reports","2017",NA,NA,"include; announcement_RRs; note","anonymous2017",NA,NA,NA,NA
"Anonymous","Promoting reproducibility with registered reports","2017",NA,NA,"include; announcement_RRs; note","anonymous2017",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","2013",NA,NA,"announcement_RRs; failure; include; note; psychology","anonymous2013",NA,NA,NA,NA
"Anonymous","What science looks like","2019","anecdotal",NA,"include; note; empirical_case_study; RRs","anonymous2019","Since started offering RRs they've "" received a large number of excellent submissions""",NA,NA,NA
"Anonymous","What science looks like","2019","anecdotal",NA,"include; note; empirical_case_study; RRs","anonymous2019","Since started offering RRs they've "" received a large number of excellent submissions""",NA,NA,NA
"Anonymous","What science looks like","2019","anecdotal",NA,"include; note; empirical_case_study; RRs","anonymous2019"," First two RRs consist of 1 null  & 1 contradictory result  but highly credible results (well powered & vetted) = shows ""we have to expect scientific results to be contradictory, unpredicted or even messy.""",NA,NA,NA
"Anonymous","What science looks like","2019","anecdotal",NA,"include; note; empirical_case_study; RRs","anonymous2019"," First two RRs consist of 1 null  & 1 contradictory result  but highly credible results (well powered & vetted) = shows ""we have to expect scientific results to be contradictory, unpredicted or even messy.""",NA,NA,NA
"Anonymous","What science looks like","2019","anecdotal",NA,"include; note; empirical_case_study; RRs","anonymous2019",NA,NA,NA,NA
"Anonymous","What science looks like","2019","anecdotal",NA,"include; note; empirical_case_study; RRs","anonymous2019",NA,NA,NA,NA
"Attwood, Angela S.; Munafo, Marcus R.","Navigating an open road","2016",NA,NA,"include; registered-reports; note","attwood2016",NA,NA,NA,NA
"Attwood, Angela S.; Munafo, Marcus R.","Navigating an open road","2016",NA,NA,"include; registered-reports; note","attwood2016",NA,NA,NA,NA
"Back, Mitja D.","Continued Quality, Openness, and Curiosity at the European Journal of Personality","2018",NA,NA,"include; registered-reports; note","back2018",NA,NA,NA,NA
"Back, Mitja D.","Continued Quality, Openness, and Curiosity at the European Journal of Personality","2018",NA,NA,"include; registered-reports; note","back2018",NA,NA,NA,NA
"Back, Mitja D.","Continued Quality, Openness, and Curiosity at the European Journal of Personality","2018",NA,NA,"include; registered-reports; note","back2018",NA,NA,NA,NA
"Baxter, Mark G.; Burwell, Rebecca D.","Promoting Transparency and Reproducibility in Behavioral Neuroscience: Publishing Replications, Registered Reports, and Null Results","2017",NA,NA,"HARKing; p-hacking; pub bias; negative results; include; announcement_RRs; mpte; note; scientific   method","baxter2017",NA,NA,NA,NA
"Baxter, Mark G.; Burwell, Rebecca D.","Promoting Transparency and Reproducibility in Behavioral Neuroscience: Publishing Replications, Registered Reports, and Null Results","2017",NA,NA,"HARKing; p-hacking; pub bias; negative results; include; announcement_RRs; mpte; note; scientific   method","baxter2017",NA,NA,NA,NA
"Baxter, Mark G.; Burwell, Rebecca D.","Promoting Transparency and Reproducibility in Behavioral Neuroscience: Publishing Replications, Registered Reports, and Null Results","2017",NA,NA,"HARKing; p-hacking; pub bias; negative results; include; announcement_RRs; mpte; note; scientific   method","baxter2017",NA,NA,NA,NA
"Baxter, Mark G.; Burwell, Rebecca D.","Promoting Transparency and Reproducibility in Behavioral Neuroscience: Publishing Replications, Registered Reports, and Null Results","2017",NA,NA,"HARKing; p-hacking; pub bias; negative results; include; announcement_RRs; mpte; note; scientific   method","baxter2017",NA,NA,NA,NA
"Benning, Stephen D.; Bachrach, Rachel L.; Smith, Edward A.; Freeman, Andrew J.; Wright, Aidan G. C.","The Registration Continuum in Clinical Science: A Guide Toward Transparent Practices","2019",NA,NA,"preregistration; transparency; credibility; disorders; include; registered-reports; psychopathology; note; coregistration; flexibility; framework; postregistration; symptoms","benning2019",NA,NA,NA,NA
