"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"U89NMYLH","journalArticle","2018","Allee, Kristian D.; Deangelis, Matthew D.; Moon, James R.","Disclosure ""Scriptability""","Journal of Accounting Research","","0021-8456","10.1111/1475-679x.12203","","In response to the increasing use of computer programs to process firm disclosures, this registered report develops a new measure of scriptability that reflects computerized, rather than human, information processing costs. We validate our measure using SEC filing-derived data from prior research and identify firm and disclosure characteristics related to it. In our planned hypothesis tests, we find some evidence that the speed of the market response to filings increases with scriptability, but find little evidence that scriptability affects the incidence and speed of news dissemination by Dow Jones. In additional analyses, we find that scriptability exhibits both positive and negative associations with changes in information asymmetry between market participants, depending on the filing, trading window, and measure examined. We also find little evidence that XBRL interacts with scriptability in a meaningful way. Overall, our study broadens our understanding of information processing costs and provides opportunities for new avenues of research.","2018-05","2019-10-07 21:08:13","2019-10-08 22:06:51","","363-430","","2","56","","J. Account. Res.","","","","","","","","English","","","","","","","WOS:000430467200002","","C:\Users\zn18986\Zotero\storage\7XHDMCYS\Allee et al. - 2018 - Disclosure Scriptability.pdf","","disclosure; voluntary; annual-report readability; dissemination; earnings announcements; financial reporting; high-frequency trading; information   processing costs; information-content; internal control; price discovery; reporting complexity; textual   analysis; textual analysis; trading volume; xbrl; exclude_only reference to rr is description","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H2ZWTWFW","journalArticle","2017","Aird, Fraser; Kandela, Irawati; Mantis, Christine","Replication Study: BET bromodomain inhibition as a therapeutic strategy to target c-Myc","Elife","","2050-084X","10.7554/elife.21253","","In 2015, as part of the Reproducibility Project: Cancer Biology, we published a Registered Report (Kandela et al., 2015) that described how we intended to replicate selected experiments from the paper ""BET bromodomain inhibition as a therapeutic strategy to target c-Myc"" (Delmore et al., 2011). Here we report the results of those experiments. We found that treatment of human multiple myeloma (MM) cells with the small-molecular inhibitor of BET bromodomains, (+)-JQ1, selectively downregulated MYC transcription, which is similar to what was reported in the original study (Figure 3B; Delmore et al., 2011). Efficacy of (+)-JQ1 was evaluated in an orthotopically xenografted model of MM. Overall survival was increased in (+)-JQ1 treated mice compared to vehicle control, similar to the original study (Figure 7E; Delmore et al., 2011). Tumor burden, as determined by bioluminescence, was decreased in (+)-JQ1 treated mice compared to vehicle control; however, while the effect was in the same direction as the original study (Figure 7C-D; Delmore et al., 2011), it was not statistically significant. The opportunity to detect a statistically significant difference was limited though, due to the higher rate of early death in the control group, and increased overall survival in (+)-JQ1 treated mice before the pre-specified tumor burden analysis endpoint. Additionally, we evaluated the (-)-JQ1 enantiomer that is structurally incapable of inhibiting BET bromodomains, which resulted in a minimal impact on MYC transcription, but did not result in a statistically significant difference in tumor burden or survival distributions compared to treatment with (+)-JQ1. Finally, we report meta-analyses for each result.","2017-01-19","2019-10-07 21:19:59","2019-10-08 22:06:26","","e21253","","","6","","eLife","","","","","","","","English","","","","","","","WOS:000393397100001","","C:\Users\zn18986\Zotero\storage\5LT8E2GM\Aird et al. - 2017 - Replication Study BET bromodomain inhibition as a.pdf","","cancer; tumor-growth; cells; resistance; d-luciferin; jq1; malignancies; multiple-myeloma; proteins; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5UISCHYG","journalArticle","2019","Allen, Christopher; Mehler, David M. A.","Open science challenges, benefits and tips in early career and beyond","Plos Biology","","1544-9173","10.1371/journal.pbio.3000246","","The movement towards open science is a consequence of seemingly pervasive failures to replicate previous research. This transition comes with great benefits but also significant challenges that are likely to affect those who carry out the research, usually early career researchers (ECRs). Here, we describe key benefits, including reputational gains, increased chances of publication, and a broader increase in the reliability of research. The increased chances of publication are supported by exploratory analyses indicating null findings are substantially more likely to be published via open registered reports in comparison to more conventional methods. These benefits are balanced by challenges that we have encountered and that involve increased costs in terms of flexibility, time, and issues with the current incentive structure, all of which seem to affect ECRs acutely. Although there are major obstacles to the early adoption of open science, overall open science practices should benefit both the ECR and improve the quality of research. We review 3 benefits and 3 challenges and provide suggestions from the perspective of ECRs for moving towards open science practices, which we believe scientists and institutions at all levels would do well to consider.","2019-05","2019-10-07 21:19:59","2019-10-31 11:24:46","","e3000246","","5","17","","PLoS. Biol.","","","","","","","","English","","","","","","","WOS:000470189800010","","C:\Users\zn18986\Zotero\storage\NTBBHPV3\Allen and Mehler - 2019 - Open science challenges, benefits and tips in earl.pdf","","empirical; include; RRs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G43V3LDU","journalArticle","2013","Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","Attention Perception & Psychophysics","","1943-3921","10.3758/s13414-013-0502-5","","","2013-07","2019-10-07 21:19:59","2019-10-31 11:20:15","","781-783","","5","75","","Atten. Percept. Psychophys.","","","","","","","","English","","","","","","","WOS:000322668000001","<p>Announces launch of ""Registered Reports and Replications"" research reports by *Attention, Perception &amp; Psychophysics*</p> <p>Explains RR process: eligibility, submission checklist &amp; guidelines + peer-review criteria</p> <p>Why RRs: increase replications + decrease publication bias</p>","C:\Users\zn18986\Zotero\storage\TVEPZHEM\Anonymous - 2013 - Registered Reports and Replications in Attention, .pdf","","psychology; failure; include; announcement_RRs; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KGY6CSX","journalArticle","2017","Anonymous","Promoting reproducibility with registered reports","Nature Human Behaviour","","2397-3374","10.1038/s41562-016-0034","","","2017-01","2019-10-07 21:19:59","2019-10-28 23:01:58","","UNSP 0034","","1","1","","Nat. Hum. Behav.","","","","","","","","English","","","","","","","WOS:000418775900002","<p>With this format[RR], acceptance in principle happens before the research outcomes are known. As a result, publication bias is neutralized, as are incentives for practices that undermine the validity of scientific research.</p> <p> </p> <p>Nature Human Behaviour is committed<br />to supporting robust scientific practices and<br />the adoption of the registered report format<br />is one step in this direction. Registered<br />reports shift the emphasis from the results<br />of research to the questions that guide<br />the research and the methods used to<br />answer them. As such, the format aims to<br />counteract a host of problems associated<br />with results-based publication that threaten<br />the integrity of the scientific method</p> <p> </p> <p>With registered reports, initial peer<br />review and in-principle acceptance occur<br />prior to data collection (Fig. 1). As a result,<br />the decision to publish is not affected by the<br />significance or direction of the results, but<br />rather by the importance of the research<br />question and the strength of the methods.<br />Peer review after data collection ensures<br />that the agreed protocol has been adhered<br />to, but cannot be used to revoke a positive<br />decision based on the outcomes</p> <p> </p> <p>The format in Nature Human Behaviour<br />is available for hypothesis-driven<br />quantitative research where the data have<br />not yet been collected (and are not already<br />available for secondary analyses).</p> <p> </p> <p>By offering the registered report format,<br />it is the journal’s intention to support<br />the research community’s efforts for<br />transparency, reproducibility, and open<br />sharing. Some have questioned whether the<br />format curtails creativity and the exploration<br />of serendipitous findings4. However, this is<br />by no means the case: although authors are<br />required to adhere to the accepted protocol,<br />there are no restrictions on the reporting of<br />unplanned, unregistered analyses. We only<br />ask that unregistered analyses be flagged<br />as such, so that readers can discriminate<br />between pre-registered and unregistered<br />analyses. We further offer incremental<br />registration (with fast-track peer review),<br />so that authors have the option to add<br />experiments to approved submissions. This<br />is particularly appropriate in cases where an<br />initial experiment leads to a serendipitous<br />finding that warrants follow-up in the<br />same paper.<br />The registered report format is not<br />suitable for all types of research and we will<br />be offering it alongside our other research<br />formats. However, we strongly encourage<br />those scientists engaged in hypothesis-driven<br />quantitative research to consider submitting<br />their work as a registered report — there is<br />nothing to lose, but much to gain.</p>","C:\Users\zn18986\Zotero\storage\YEUFNEY9\Anonymous - 2017 - Promoting reproducibility with registered reports.pdf","","include; announcement_RRs; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MWQTSIE","journalArticle","2019","Anonymous","What science looks like","Nature Human Behaviour","","2397-3374","10.1038/s41562-019-0652-0","","The publication of our first two Registered Reports marks a major milestone for Nature Human Behaviour. These studies demonstrate what many researchers know, but is often hidden from the published literature: confirmatory research doesn't always confirm the authors' hypotheses.","2019-08","2019-10-07 21:19:59","2019-10-28 20:29:07","","763-763","","8","3","","Nat. Hum. Behav.","","","","","","","","English","","","","","","","WOS:000480445500001","<p>We adopted the<br />Registered Report format from the outset<br />(see our launch editorial: https://www.<br />nature.com/articles/s41562-016-0034),<br />and have since received a large number of<br />excellent submissions. This month marks a<br />special milestone in the history of Registered<br />Reports at Nature Human Behaviour, as<br />we are publishing our first two Stage 2<br />Registered Reports: articles that report on<br />studies that were peer reviewed and accepted<br />in principle before data collection began.<br />When we accepted in principle the Stage 1<br />versions of these Registered Reports, both<br />we and our reviewers were persuaded that<br />these papers were addressing important<br />questions of broad significance and that<br />they represented the most rigorous efforts<br />to address these questions to date. We<br />committed to publishing these studies before<br />the results were known because we strongly<br />believe that when the question is important<br />and the methods robust, the results will be<br />important no matter what they are.The results of both studies are illuminating: they showcase how the<br />results of meticulously designed, carefully<br />executed studies, for which a commitment<br />to publication was made results-blind, may<br />differ from the type of work we usually see<br />published, which typically presents ‘clean’<br />results that seemingly always confirm the<br />researchers’ primary hypothesis.</p> <p> </p> <p>In essence, the first two Registered<br />Reports we are publishing consist of a<br />null result and a result that contradicts<br />the experimental hypothesis. These were<br />obtained through highly powered, rigorously<br />vetted protocols, lending significant<br />credence to the results. The outcomes of<br />our first two published Registered Reports<br />amplify what has become increasingly<br />apparent during the nascent credibility<br />revolution in the social and behavioural<br />sciences: we have to expect scientific<br />results to be contradictory, unpredicted<br />or even messy.</p>","C:\Users\zn18986\Zotero\storage\IBQRH9RX\Anonymous - 2019 - What science looks like.pdf","","include; RRs; empirical_case_study; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JVZTGKFF","journalArticle","2018","Ansari, Daniel; Gervain, Judit","Registered Reports: introducing a new article format in Developmental Science","Developmental Science","","1363-755X","10.1111/desc.12650","","","2018-01","2019-10-07 21:19:59","2019-10-28 22:44:44","","e12650","","1","21","","Dev. Sci.","","","","","","","","English","","","","","","","WOS:000418865300021","","C:\Users\zn18986\Zotero\storage\FQNUSUKU\Ansari and Gervain - 2018 - Registered Reports introducing a new article form.pdf","","include_key_has_critique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ID92G9MF","journalArticle","2018","Back, Mitja D.","Continued Quality, Openness, and Curiosity at the European Journal of Personality","European Journal of Personality","","0890-2070","10.1002/per.2141","","","2018-02","2019-10-07 21:19:59","2019-10-28 20:55:14","","3-5","","1","32","","Eur. J. Personal.","","","","","","","","English","","","","","","","WOS:000425082900001","<p>We also aim to further increase the diversity of publication<br />formats. EJP is open to all sorts of empirical and nonempirical<br />contributions that will move the field forward,<br />including original empirical studies, comprehensive metaanalyses,<br />preregistered replications of previous relevant<br />findings, and papers that present a relevant conceptual or<br />methodological innovation. In addition to these, and continuing<br />our adoption of open science practices, we will include<br />Registered Reports (RRs) as a regular publication<br />format.</p> <p> </p> <p>RRs offer an elegant and straightforward<br />way to increase the representativeness, trustworthiness,<br />and robustness of our field’s findings. They also come<br />along with a number of advantages for authors, including<br />in-depth conceptual and methodological feedback before<br />the start of data assessment (i.e., feedback that can indeed<br />be considered without having to start anew) and a much<br />faster and result-independent security regarding the publication<br />of one’s research. The concrete guidelines for submitting<br />RRs at EJP will be fleshed out in the very near<br />future, but authors who are potentially interested in submitting<br />an RR are encouraged to contact me any time. I am<br />also happy to discuss further creative formats that can help<br />promote personality science. For example, meta-scientific<br />comments or even more dynamic meta-scientific discussions<br />that are highly relevant to the field might be prepared and<br />submitted as nonempirical papers.</p>","C:\Users\zn18986\Zotero\storage\LDT3RU65\Back - 2018 - Continued Quality, Openness, and Curiosity at the .pdf","","registered-reports; include; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUXIFFYJ","journalArticle","2018","Bernard, Christophe","Editorial: Introducing Registered Reports","Eneuro","","2373-2822","10.1523/eneuro.0089-18.2018","","","2018-04","2019-10-07 21:19:59","2019-10-28 22:26:29","","UNSP e0089-18.2018","","2","5","","eNeuro","","","","","","","","English","","","","","","","WOS:000430017100011","<p>pre-evaluation [of RRs] has two main advantages:<br />1. It provides useful feedback to authors before they start<br />performing the experiments. In that way, the project<br />can be greatly improved. This ultimately saves time<br />and money. I would personally enjoy feedback from<br />peers at very early stages of a project, as one cannot<br />always see potential caveats, or better ways to demonstrate<br />what we want to show. External advice is<br />always important. 2. It guarantees publication, again saving time, as the<br />study is already provisionally accepted.</p> <p> </p> <p>From personal experience, I know that it is sometimes<br />impossible to predict how a project will exactly evolve in<br />time. This is the nature of science. However, in some<br />instances, the experimental plan can be straightforward,<br />like for preclinical studies. Therefore, we will first limit<br />Registered Reports to preclinical studies designed to test<br />the effect of a treatment. However, if you think that your<br />nonclinical experimental plan will not deviate over time,<br />you can contact me about it, I would be happy to consider<br />any type of study in the Registered Report category.</p>","C:\Users\zn18986\Zotero\storage\HAII9IS8\Bernard - 2018 - Editorial Introducing Registered Reports.pdf","","include; announcement_RRs; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8IVVWKV","journalArticle","2018","Bernard, Darren; Cade, Nicole L.; Hodge, Frank","Investor Behavior and the Benefits of Direct Stock Ownership","Journal of Accounting Research","","0021-8456","10.1111/1475-679x.12198","","Using an experiment to rule out reverse causality, we examine whether a small investment in a company's stock leads investors to purchase more of the company's products and adopt other views and preferences that benefit the company. We preregister our research methods, hypotheses, and supplemental analyses via the Journal of Accounting Research's registration-based editorial process. We find little evidence consistent with these hypotheses for the average investor in our sample using our planned univariate hypothesis tests, and planned Bayesian parameter estimation shows substantial downward belief revision for more optimistic ex ante expectations of the treatment effects. In planned supplemental analyses, however, we do find that the effects of ownership on product purchase behavior and on regulatory preferences are intuitively stronger for certain subgroups of investorsnamely, for investors who are most likely to purchase the types of products offered by the company and for investors who are most likely to vote on political matters. The results contribute to our understanding of the benefits of direct stock ownership and are informative to public company managers and directors.","2018-05","2019-10-07 21:19:59","2019-10-08 22:06:51","","431-466","","2","56","","J. Account. Res.","","","","","","","","English","","","","","","","WOS:000430467200003","","C:\Users\zn18986\Zotero\storage\X5DDAJSB\Bernard et al. - 2018 - Investor Behavior and the Benefits of Direct Stock.pdf","","Bayesian analysis; selection; model; events; product; decisions; direct stock ownership; expected financial returns; investor behavior; preferences; prices; registered   report; shareholders; thinking; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
