Author,Publication Year,Title,empirical_pro,empirical_con,Pro_opinion,critique & responses_opintion,comments,refs to papers not found in search,Manual Tags
"Allen, Christopher; Mehler, David M. A.",2019,"Open science challenges, benefits and tips in early career and beyond"," RRs are more likely to report null findings than traditional articles b/c  66% of RRRs  & 55% of RRs for non-replications are disconfirmatory vs 5-20% of convential articles BUT authors may choose RRs if think null findings are likely (Chambers, 2019)",,tbd,,,,empirical; include; RRs
Anonymous,2018,What next for registered reports,,,"RRs ""allows us to focus on the importance of a research question and the quality of the methods without ...being distracted by ... the results.""; RRs prevent pub bias b/c ensure all results are published; can feel ""truly collaborative"" b/c feedback can improve design; ","success of RRs depends on them being ""recognized as publications that transparently document the confirmatory, pre-planned nature of the research"" - RRs will only ""fulfil its promise"" if people can  compare stage 1 & stage 2s = both must be public",,,include_key
"Ansari, Daniel; Gervain, Judit",2018,Registered Reports: introducing a new article format in Developmental Science,,,"RRs prevent researchers being able or asked to p-hack or HARK b/c they must prereg questions & hypotheses; RRs encourage statistical rigour = limits false positives b/c mandate a power analyssi of 90%; feedback can improve design = ""arguably more constuctive forum for peer review"";  IPA = RRs incentive high-risk (costly or complicated),  high-gain developmental research b/c publication guarenteed'; RRs are an "" important venue for the replication"" = ensure developmental research is cumulative & test if theoretical models have strong empirical basis; the editors expect RRs to "" facilitate the publication of important discoveries in research on human development.""; Their aim of offering RRs is to meet researchers' desire to disseminate reesearch & advance knowledge ""in novel ways that focus on theory and method rather than on results, acknowledging the real contribution of “null results” and unexpected findings""",BUT RRs don't stile creativity b/c unplanned analyses welcome + minor deviations welcome if editor informed & disclosed,,,include_key_has_critique
"Bloomfield, Robert; Rennekamp, Kristina; Steenhoven, Blake",2018,No System Is Perfect: Understanding How Registration-Based Editorial Processes Affect Reproducibility and Investment in Research Quality,,,tbd,,,,empirical; include_key
"Campbell, Harlan; Gustafson, Paul",2018,Conditional equivalence testing: An alternative remedy for publication bias,,,IPA prevents suggested to prevent pub bias,"RR journals may become a ªdumping groundº [28] for null and ambiguous findings"" that's don’t advance science BUT RRs that mandate 90% (sometime 80%) power avoid this BUT this disadvantages researchers with limited resources or expensive techniques, excludes low powered studies which can provide value & learning potential, forces RRs that don't achieve sample size target to be rejected or given special compensation + ""power calculations are often flawed"" by changign anticipated effect size to affordable sample size & ""often ""wildely optimistic""[39]"" due to ""follow-up bias"" & ""illusion of power"" BUT RRs could have authors commit to attaining a certain Bayes Factor instead of a sample size",,,include_key_critique
"Chambers, Chris",2019,What's next for Registered Reports?,"""At the journal Cortex, where I serve as an editor, the acceptance rate for Stage 1 RRs that enter in-depth review is about 90%: more than double that of conventional articles. The publication rate at Stage 2 is currently 100%, with no withdrawals by authors."";  I have overseen numerous cases in which reviewers have intervened to prevent a serious flaw in a study design — adding crucial controls, ensuring the sample size is sufficient or explaining why the hypotheses or planned statistical analyses cannot really answer the research question. Even when a proposed design is sound, the review process often adds clarity and focus. In my experience, the reviewers find the process rewarding. One comment from a reviewer is typical of the informal feedback I receive: “If the authors can incorporate many of the suggestions from all of us reviewers, they will have a far better study than what they originally planned, which is really valuable and exciting. ; ""They cannot wait two to four months for a Stage 1 manuscript to complete peer review""; y."" RRs are popular with early-career researchers. For example, at Cortex, 78% of RR first authors (n=82) are PhD students or postdocs, compared with 67% in a control sample (n=57) of conventional articles. ""; ""Over the past six years, dozens of authors have told me —and written publicly — that they appreciate the more-predictable timeline of RRs"";  ""Stage 2 submissions almost always include further analyses.""; ""In my experience, the opposite [to people being locked into a bad protocol] is more likely: reviewers can prevent researchers from running less-informative experiments""; ""reviewers of Stage 2 manuscripts generally understand reasonable changes.""",,"IPA = authors don't need to present clean, compelling narrative of results; ""s. I hope RRs will become an option in all mainstream life- and social-science journals within ten years""; reviewers can improve the design; IPA benefits students b/c they can list publication earlier & more certainly than traditional submissions; shorter total time to publication b/c resubmission & requests of additional studies less likely; prevents researchers leaving reasonable & questionable changes unreported; prevents selective analysis reporting & HARKing","Unsuitable for non-hypothesis driven & methods development research; RRs ""intended only to strengthen the rigour and transparency"" of hypothesis-driven research BUT researchers must wait for IPA before collection = unsuitable if researchers can't wait (e.g. unpredicatble events or undergrad projects) or  ; RR are suitable for sequential studies where design depends on each others results BUT authors rarely do this maybe b/c multiple rounds of pre-study review is too time consuming instead authors submit a follow-up study to a series or submit a plan for the entire series; concern less flexible = constrains creativity & serendipity from data exploration BUT not true b/c unplanned analyses welcome; concern it locks researchers into adhering to poor quality protocol BUT this rarely happens (see empirical_pro); if journals publish Stage 2 manuscripts only readers can't compare it with protocol",,preprint (https://osf.io/5y8w7/) finds RRs are cited the same amount or higher than traditional articles,include_key
"Chambers, Christopher D.; Mellor, David T.",2018,Protocol transparency is vital for registered reports,,,,,,,empirical; include_key
"Cropley, Arthur",2018,Research as Artisanship versus Research as Generation of Novelty: The March to Nowhere,,,,,,,include_key_critique
"Donnellan, M. Brent; Lucas, Richard E.",2018,Introduction to the special issue - A replication project in personality psychology,,,,,,,replicability; science; registered-reports; recommendations; special section; include_key_personal_XP
"Grand, James A.; Rogelberg, Steven G.; Banks, George C.; Landis, Ronald S.; Tonidandel, Scott",2018,From Outcome to Process Focus: Fostering a More Robust Psychological Science Through Registered Reports and Results-Blind Reviewing,,,,,,,include_key
