author,title,year,empirical_pro,empirical_con,pro_opinion,critique_responses_opintion,comments,manual_tags
"Allee, Kristian D.; Deangelis, Matthew D.; Moon, James R.","Disclosure ""Scriptability""",2018,"""Consistent with the registered report process, the only changes to our study from the accepted stage one proposal are reported in online appendix F.""; ""The registered report process requires us to clearly distinguish between planned ...  and unplanned analyses""",,,,,include; note
Anonymous,Promoting reproducibility with registered reports,2017,,,Why RRs: increase replications + decrease publication bias,,,include; announcement_RRs; note
Anonymous,"Registered Reports and Replications in Attention, Perception, & Psychophysics",2013,,,"IPA ""neutralises"" publication bias + incetives for invalid practices; RRs shift focus from results to questions & methods = avoid invalid practices results-based publication allow; RRs support ""transparency, reproducibility, and open sharing.""","Concerns ""it curtails creativity"" and serendipitous findings BUT unplanned analyses  & incremental reg (e.g. follow ups) allowed ; Unsuitable for all types research - hypothesis-driven quantitative research most suitable",,announcement_RRs; failure; include; note; psychology
Anonymous,What science looks like,2019,"Since started offering RRs they've "" received a large number of excellent submissions""; First two RRs consist of 1 null  & 1 contradictory result  but highly credible results (well powered & vetted) = shows ""we have to expect scientific
results to be contradictory, unpredicted
or even messy.""",,results always important if question important & methods robust; ,,,include; note; empirical_case_study; RRs
"Attwood, Angela S.; Munafo, Marcus R.",Navigating an open road,2016,,,IPA guarentees publication = reduces pressure to find interestign results,,,include; registered-reports; note
"Back, Mitja D.","Continued Quality, Openness, and Curiosity at the European Journal of Personality",2018,,,"RRs""increase the representativeness, trustworthiness,
and robustness"" of findings; RRs advantageous to authors b/c feedback pre-analysis + faster & ""results-independent security"" publications",,,include; registered-reports; note
"Baxter, Mark G.; Burwell, Rebecca D.","Promoting Transparency and Reproducibility in Behavioral Neuroscience: Publishing Replications, Registered Reports, and Null Results",2017,,,"Offering RRs (allongisde replications & null results pubs) to promote ""methodological rigor"" = ensure ""discoveries are based on sound evidence and that they provide a durable foundation for future progress""; pre-study review & IPA = encourage hypothesising pre-data collection (= prevents p-hacking & HARKing)  + scruitise power & design when they can be changed; IPA discourages selective publication ( postive/flashy results)",,,HARKing; p-hacking; publication bias; negative results; include; announcement_RRs; mpte; note; scientific   method
"Benning, Stephen D.; Bachrach, Rachel L.; Smith, Edward A.; Freeman, Andrew J.; Wright, Aidan G. C.",The Registration Continuum in Clinical Science: A Guide Toward Transparent Practices,2019,,,NA,,,preregistration; transparency; credibility; disorders; include; registered-reports; psychopathology; note; coregistration; flexibility; framework; postregistration; symptoms
"Bernard, Christophe",Editorial: Introducing Registered Reports,2018,,,advantages of pre-study review: feedback = design improvement possible = save time & money + gurentees publication = saves time.,Unsuitable if experimental plans deviate over time,,include; announcement_RRs; note
"Bowman, Nicholas David; Keene, Justin Robert",A Layered Framework for Considering Open Science Practices,2018,,,"Pre-registered reports' are the 5th inner layer of their 'onion model' of open science (this has 5 layers of increasingly transparent practices)  assuming they require authors to share their research materials, data & analysis; RRs ""usually involves perhaps the most rigorous peer-reviewed scientific method""",RR authors should share materials (e.g. stage 1) otherwise can't prove stage 1 protocol  was followed; RRs are effortful b/c authors must submit preliminary docs (often not standard research process); two-stage review effortful esp for reviewers; BUT pre-study review can improve designs = may save time & resources; some concerned more rounds of peer review doesn't resolve issues with peer review,,Transparency; Open Science; include; note; Preregistered Reports; Research Ethics
"Byington, Eliza K.; Felps, Will",Solutions to the Credibility Crisis in Management Science,2017,,,"RRs can help null results get published; IPA minimises punlication risk for authors & reduces value of data manuipulation, results fabrication & HARKing; pre-study review avoids waste thru illlogical theory & flawed methods",,,psychology; replication; publication bias; communication; cooperation; include; consequences; note; organizational sciences; scientific literature; social dilemmas; strategic management
"Chambers, Christopher D.",Registered Reports: A new publishing initiative at Cortex,2013,,,"No publication bias in RRs b/c IPA; mandated adherence to reviewed prereg =  prevents invalid practices (including p-hacking, creative outlier exclusion & selective analysis reporting); mandated power calculation will reduce false negatives; RRs will have the ""highest ‘truth value’ of any available scientific publication""; especially suitable for replications","Unsuitable for some research; RRs won't ""outlaw serendipity or hinder legitimate scientific flexibility"" b/c unplanned analyses welcome",,incentives; include; truth; prevalence; note
"Chambers, Christopher D.",TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN,2015,,,IPA prevents publication bias; preregistering hypotheses prevents harking; preregistering data collection & analysis methods prevents p-hacking;  mandating high power increases reproducibility of results; mandated data sharing increases transparency; IPA ensures serendipitous findings & replications published; feedback can improve designs; ensures planned & unplanned analyses distinct; advocates importance of precise predictions & valid stats ,editors fear RRs will damage impact factor & exploratory research  + fear technicalities of coordinating two-stage review,,reproducibility; publication bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus",Registered Reports: Realigning incentives in scientific publishing,2015,"Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle
acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far
required approximately 4 weeks for a final editorial decision",,"Minimise pub bias, selective reporting, harking & low statistical power; IPA minimises incentives for QRPs;  it ""opens the door to a new kind of science, a new incentive structure, and, in our view, a more sustainable and reproducible knowledge base.""",Maube unsuitable for purely exploratory research; BUT unplanned analyses welcome = no threat to them,,statistical power; include; truth; psychological-research; note
"Chambers, Christopher D.; Forstmann, Birte; Pruszynski, J. Andrew",Registered reports at the European Journal of Neuroscience: consolidating and extending peer-reviewed study pre-registration,2017,"""Results sections of Registered Reports already published at other journals attest to the fact that the format welcomes exploratory analyses""; At Cortex the ""rejection rate of Registered Reports that pass editorial triage and proceed to in-depth Stage 1 review is just 10% (cf. 90% for regular submissions). This low rejection rate arises not from setting a lower bar for publication (quite the opposite), but because the Stage 1 review process is able to correct methodological problems in a study before they arise and could thus render a paper unpublishable. And because the study design is assessed at Stage 1 (and not re-assessed at Stage 2), authors who choose Registered Reports are therefore more likely to see their article published within the journal they initially submit to, avoiding the time cost of resubmitting rejected manuscripts successively to multiple journals.""; "" At Cortex, the Stage 1 and Stage 2 review processes take, on average, 10 weeks each, with (so far) up to two rounds of in-depth review in each case.""",,IPA prevents publication bias; mandated prereg prevents p-hacking & HARKing; mandated detailed reporting of methods + power of 90% makes procedures easier to repeat & results more replicable; IPA incentives conduct of resource intensive projects & replications b/c no risk of not getting published,"concern mandated protocol adherence = less procedural flexibility & analytical creativity BUT minor deviations welcome if editorial board informed immediately & clearly disclosed + unplanned analyses welcomed; researchers must wait for IPA before collection BUT time saved elsewhere b/c rejections & resubmissions less likely (see empirical_pro); concern RRs more suitbale for ""one shot"" studies & unsuitable for sequential studies where results determine next study BUT ""incremental registion"" allows addition of follow-up studies; RRs unsuitable for exploratory & methods development  research; RRs do not aim to replace exploratory research",,editorial; truth; include; incentives_key
"Chambers, Christopher D.; Forstmann, Birte; Pruszynski, J. Andrew",Science in flux: Registered reports and beyond at the European Journal of Neuroscience,2019,,,,,,editorial; include_key
"Cook, Bryan G.",Reforms in Academic Publishing: Should Behavioral Disorders and Special Education Journals Embrace Them?,2016,,,"RRs avoid p-hacking, data peeking, HARKing, outcome reporting bias, pub bias & flawed peer review; pre-study review  & IPA = no reviewer bias for results + removes incentives to use QRPS to get stat sig (incentivised to adhere to research plan)","The risk:reward ratio and potential impact of RRs is unknown; some believe researcher's main concern with RRs is scooping risks b/c other's use of data, materials & protocols may take priority; concerns mandated protocol adherence will stifle exploration & discovery BUT unplanned analyses welcome if distinct",,psychology; replication; publication bias; credibility; file drawer; registered reports; include; social-sciences; note; randomized controlled-trials; post; science research
"Cook, Bryan G.; Lloyd, John Wills; Mellor, David; Nosek, Brian A.; Therrien, William J.",Promoting Open Science to Increase the Trustworthiness of Evidence in Special Education,2018,,,Reviewers can inform design = increases robustness of results;  RRs combines benefits of preregistration to incentive of publication; IPA avoids bias vs null results,,,replicability; replication; publication bias; incentives; registered reports; intervention; include; note; file   drawer; instruction; learning-disabilities; null
"Davies, Graham M.; Granhag, Par-Anders",ACP to publish Registered Reports,2018,,,"Advantages for researchers, esp ECRs = pre-study review & IPA; aim of offering RRs = ""improve the replicability and representativeness of findings, while still encouraging the exploratory research""",,,include; announcement_RRs; note
"Dessing, Joost C.; Beek, Peter J.",Human Movement Science adopts Registered Reports for hypothesis-driven research,2015,,,"Suitable for hypothesis-driven research & high-impact replications; IPA reduces possibility & value of QRPS; trustworthy conclusions; RR will have ""relatively minor effect on regular review process""",,,announcement_RRs; include; note
"Donnellan, M. Brent; Lucas, Richard E.",Introduction to the special issue - A replication project in personality psychology,2018,Found the RR process worked well for the special issue mentioned & thought it indicated RRs could work for novel personality psychology studies = informed decision to offer RRs at JRP,,"""We believe that reviewers and editors are willing and able to make decisions about the merits of a study before seeing the results and discussion sections.""; two-stage review can reduce pub bias vs null results & could reduce pressure for significant results; ""we are enthusiastic about the promises of registered reports in personality research.""",,,replicability; science; registered-reports; recommendations; special section; include_key_personal_XP
