"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Citekey"
"U89NMYLH","journalArticle","2018","Allee, Kristian D.; Deangelis, Matthew D.; Moon, James R.","Disclosure ""Scriptability""","Journal of Accounting Research","","0021-8456","10.1111/1475-679x.12203","","In response to the increasing use of computer programs to process firm disclosures, this registered report develops a new measure of scriptability that reflects computerized, rather than human, information processing costs. We validate our measure using SEC filing-derived data from prior research and identify firm and disclosure characteristics related to it. In our planned hypothesis tests, we find some evidence that the speed of the market response to filings increases with scriptability, but find little evidence that scriptability affects the incidence and speed of news dissemination by Dow Jones. In additional analyses, we find that scriptability exhibits both positive and negative associations with changes in information asymmetry between market participants, depending on the filing, trading window, and measure examined. We also find little evidence that XBRL interacts with scriptability in a meaningful way. Overall, our study broadens our understanding of information processing costs and provides opportunities for new avenues of research.","2018-05","2019-10-07 21:08:13","2019-11-04 14:20:39","","363-430","","2","56","","J. Account. Res.","","","","","","","","English","","","","","","","WOS:000430467200002","","C:\Users\zn18986\Zotero\storage\7XHDMCYS\Allee et al. - 2018 - Disclosure Scriptability.pdf","","include; note","","allee2018"
"5UISCHYG","journalArticle","2019","Allen, Christopher; Mehler, David M. A.","Open science challenges, benefits and tips in early career and beyond","Plos Biology","","1544-9173","10.1371/journal.pbio.3000246","","The movement towards open science is a consequence of seemingly pervasive failures to replicate previous research. This transition comes with great benefits but also significant challenges that are likely to affect those who carry out the research, usually early career researchers (ECRs). Here, we describe key benefits, including reputational gains, increased chances of publication, and a broader increase in the reliability of research. The increased chances of publication are supported by exploratory analyses indicating null findings are substantially more likely to be published via open registered reports in comparison to more conventional methods. These benefits are balanced by challenges that we have encountered and that involve increased costs in terms of flexibility, time, and issues with the current incentive structure, all of which seem to affect ECRs acutely. Although there are major obstacles to the early adoption of open science, overall open science practices should benefit both the ECR and improve the quality of research. We review 3 benefits and 3 challenges and provide suggestions from the perspective of ECRs for moving towards open science practices, which we believe scientists and institutions at all levels would do well to consider.","2019-05","2019-10-07 21:19:59","2019-10-31 11:24:46","","e3000246","","5","17","","PLoS. Biol.","","","","","","","","English","","","","","","","WOS:000470189800010","","C:\Users\zn18986\Zotero\storage\NTBBHPV3\Allen and Mehler - 2019 - Open science challenges, benefits and tips in earl.pdf","","empirical; include; RRs","","allen2019"
"G43V3LDU","journalArticle","2013","Anonymous","Registered Reports and Replications in Attention, Perception, & Psychophysics","Attention Perception & Psychophysics","","1943-3921","10.3758/s13414-013-0502-5","","","2013-07","2019-10-07 21:19:59","2019-10-31 11:20:15","","781-783","","5","75","","Atten. Percept. Psychophys.","","","","","","","","English","","","","","","","WOS:000322668000001","","C:\Users\zn18986\Zotero\storage\TVEPZHEM\Anonymous - 2013 - Registered Reports and Replications in Attention, .pdf","","psychology; failure; include; announcement_RRs; note","","anonymous2013"
"5KGY6CSX","journalArticle","2017","Anonymous","Promoting reproducibility with registered reports","Nature Human Behaviour","","2397-3374","10.1038/s41562-016-0034","","","2017-01","2019-10-07 21:19:59","2019-10-28 23:01:58","","UNSP 0034","","1","1","","Nat. Hum. Behav.","","","","","","","","English","","","","","","","WOS:000418775900002","","C:\Users\zn18986\Zotero\storage\YEUFNEY9\Anonymous - 2017 - Promoting reproducibility with registered reports.pdf","","include; announcement_RRs; note","","anonymous2017"
"8MWQTSIE","journalArticle","2019","Anonymous","What science looks like","Nature Human Behaviour","","2397-3374","10.1038/s41562-019-0652-0","","The publication of our first two Registered Reports marks a major milestone for Nature Human Behaviour. These studies demonstrate what many researchers know, but is often hidden from the published literature: confirmatory research doesn't always confirm the authors' hypotheses.","2019-08","2019-10-07 21:19:59","2019-10-28 20:29:07","","763-763","","8","3","","Nat. Hum. Behav.","","","","","","","","English","","","","","","","WOS:000480445500001","","C:\Users\zn18986\Zotero\storage\IBQRH9RX\Anonymous - 2019 - What science looks like.pdf","","include; RRs; empirical_case_study; note","","anonymous2019"
"JVZTGKFF","journalArticle","2018","Ansari, Daniel; Gervain, Judit","Registered Reports: introducing a new article format in Developmental Science","Developmental Science","","1363-755X","10.1111/desc.12650","","","2018-01","2019-10-07 21:19:59","2019-11-04 16:29:04","","e12650","","1","21","","Dev. Sci.","","","","","","","","English","","","","","","","WOS:000418865300021","","C:\Users\zn18986\Zotero\storage\FQNUSUKU\Ansari and Gervain - 2018 - Registered Reports introducing a new article form.pdf","","editorial; announcement_RRs; include_key_has_critique","","ansari2018"
"ID92G9MF","journalArticle","2018","Back, Mitja D.","Continued Quality, Openness, and Curiosity at the European Journal of Personality","European Journal of Personality","","0890-2070","10.1002/per.2141","","","2018-02","2019-10-07 21:19:59","2019-10-28 20:55:14","","3-5","","1","32","","Eur. J. Personal.","","","","","","","","English","","","","","","","WOS:000425082900001","","C:\Users\zn18986\Zotero\storage\LDT3RU65\Back - 2018 - Continued Quality, Openness, and Curiosity at the .pdf","","registered-reports; include; note","","back2018"
"SUXIFFYJ","journalArticle","2018","Bernard, Christophe","Editorial: Introducing Registered Reports","Eneuro","","2373-2822","10.1523/eneuro.0089-18.2018","","","2018-04","2019-10-07 21:19:59","2019-11-04 16:29:14","","UNSP e0089-18.2018","","2","5","","eNeuro","","","","","","","","English","","","","","","","WOS:000430017100011","","C:\Users\zn18986\Zotero\storage\HAII9IS8\Bernard - 2018 - Editorial Introducing Registered Reports.pdf","","editorial; include; announcement_RRs; note","","bernard2018"
"R3TITIBF","journalArticle","2018","Bloomfield, Robert; Rennekamp, Kristina; Steenhoven, Blake","No System Is Perfect: Understanding How Registration-Based Editorial Processes Affect Reproducibility and Investment in Research Quality","Journal of Accounting Research","","0021-8456","10.1111/1475-679x.12208","","The papers in this volume were published through a Registration-based Editorial Process (REP). Authors submitted proposals to gather and analyze data; successful proposals were guaranteed publication as long as the authors lived up to their commitments, regardless of whether results supported their predictions. To understand how REP differs from the Traditional Editorial Process (TEP), we analyze the papers themselves; conference comments; a survey of conference authors, reviewers, and attendees; and a survey of authors who have successfully published under TEP. We find that REP increases up-front investment in planning, data gathering, and analysis, but reduces follow-up investment after results are known. This shift in investment makes individual results more reproducible, but leaves articles less thorough and refined. REP could be improved by encouraging selected forms of follow-up investment that survey respondents believe are usually used under TEP to make papers more informative, focused, and accurate at little risk of overstatement.","2018-05","2019-10-07 21:19:59","2019-10-28 21:00:52","","313-362","","2","56","","J. Account. Res.","","","","","","","","English","","","","","","","WOS:000430467200001","","C:\Users\zn18986\Zotero\storage\3IGBRAJP\Bloomfield et al. - 2018 - No System Is Perfect Understanding How Registrati.pdf","","empirical; include_key","","bloomfield2018"
"CMMGD9SV","journalArticle","2018","Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","Communication Research Reports","","0882-4096","10.1080/08824096.2018.1513273","","The open science movement, although not new to social science broadly, has gained momentum recently within communication science. In response, journals in our field have begun encouraging open science practices, from data and materials sharing to submitting preregistered research reports. However, this momentum has also led to some confusion over what is and is not considered open science and what the value of open sciences practices is. In this editorial we lay out an ""onion model"" of open science that describes increasing levels of transparency and suggests howopen science practices can be understood less as a revolutionary concept but more as a logical extension of some of the historical pillars of scientific norms. Through this model, we provide tangible steps for how scholarsmay begin thinking about how to introduce open science practices into their current and future empirical efforts.","2018","2019-10-07 21:19:59","2019-10-28 20:29:13","","363-372","","4","35","","Commun. Res. Rep.","","","","","","","","English","","","","","","","WOS:000445736200008","","C:\Users\zn18986\Zotero\storage\ZVQYFS8H\Bowman and Keene - 2018 - A Layered Framework for Considering Open Science P.pdf","","Transparency; Open Science; Preregistered Reports; Research Ethics; include; note","","bowman2018"
