"Notes","Author","Manual.Tags"
"<p>In addition to our standard Research Articles, we are pleased to announce three new categories of articles: Replications, Registered Reports, and Null Results. In joining other journals in psychology and related fields to offer these publication types, we hope to promote higher standards of methodological rigor in our science. This will ensure that our discoveries are based on sound evidence and that they provide a durable foundation for future progress.</p> <p>Â </p> <p>We will accept submission of articles as Registered Reports (Chambers, 2013; Chambers, Forstmann, &amp; Pruszynski, 2017), which will be reviewed for significance and methodological approach, at a point in time before the study has actually been carried out. A decision of provisional acceptance can then be rendered before the study is actually done, so that publication of the full report does not depend on the outcome of the study. This is meant to encourage formulation of study hypotheses before data are collected, preventing p-hacking and HARKing, as well as scrutiny of power and experimental design at a point in time when these can be adjusted in response to peer review. Moreover, this mode of publication is meant to discourage selective publication of positive or â€œflashyâ€ results, which may distort the research literature. This is because the decision whether to publish or not is made before the data are obtained, so evaluation of the importance of the article to the field is based on the research question rather than the outcome.</p> <p>Â </p> <p>We argue that the publication of registered reports, replications, and null results can result in positive advances as well as guard against the important problem of publication bias. Publication bias arises when the outcome of a study influences whether the author decides to publish. Decisions not to publish high quality research because of the direction or strength of the outcome can distort a body of literature and impede the ability to integrate evidence. The quality of the research, however, is key. Thus, for these three new categories of articles, we will consider the quality of the study methodology as well as the importance of the findings to the field when making publication decisions. In joining other journals in psychology and related fields in offering these publication formats, we hope that we can contribute to the growing movement to promote high standards of methodological rigor in our science, ensuring that our discoveries are based on sound evidence. We welcome feedback from our authors and readers as we develop these new modes of publication, and we continue to look forward to receiving articles describing your exciting work.</p>","Baxter, Mark G.; Burwell, Rebecca D.","HARKing; p-hacking; publication bias; negative results; include; announcement_RRs; mpte; note; scientific   method"
"<p>The decision to include such reports was driven by a desire to support transparent research practices and to support testing the reproducibility of important and influential empirical findings. The format affords authors the opportunity to conduct and publish their research projects whether or not the findings ultimately achieve community- and methodologically expected levels of significance. To date, most registered reports appearing in journals have involved attempts at replication, although clearly other types of projects might also be viable.</p> <p>Â </p> <p>Â </p>","Rapp, David N.","include; announcement_RRs; note"
"<p>The journal will then decide whether to offer in principle acceptance (IPA) of the study. This means that, if the authors of the registered reports conduct the study per the approved protocol, the journal guarantees publication of the finished article. The need to obtain statistically significant results to be published is therefore removed. Instead, researchers are incentivized to execute a high-quality realization of the registered reports, knowing that the reward will be a publication.</p> <p>Â </p> <p>The advantages of registered reports for the scientific literature are clear, since results obtained from preregistered analyses cannot be easily gamed. However, there are also benefits for other stakeholders. Researchers can feel more confident in the validity of their results, and are less likely to be fooled into performing fruitless follow-on studies based on artefactual effects. Prospective peer review also means that their work will be judged based on their ability to identify and answer an important research question, rather than on whatever that answer turns out to be. Moreover, peer review of a detailed protocol may result in improvements to the study, where these are practicable within the bounds set out by the ethical approval. Benefits to journals include the fact that published results are far less likely to be exposed as artefacts. Both journals and peer-reviewers are given the opportunity to suggest alterations to the design of the study, and in this way, might forestall missed opportunities. Ultimately, patients are likely to benefit from more rigorous evaluations of reproductive medical interventions than are currently performed. Considering these advantages, Fertility&amp;Sterility is introducing the registered reports format for randomized controlled trials.</p> <p>We believe that this format, by emphasizing rigorous methodology over surprise and spin, will produce high quality research that will stand the test of time.</p> <p>Â </p>","Wilkinson, Jack; Pellicer, Antonio; Niederberger, Craig","include; announcement_RRs; note"
"<p>To examine whether links can be evidenced, the present research applied the registered reports methodology to bring a novel and rigorous empirical lens to a scientific literature sharply divided on the effects of violent video games</p> <p>Â </p> <p>we observed at least three such correlations ranging in size from when considering uncorrected models using variables we did not hypothesize would be correlated with aggressive behaviour.... If we had not preregistered our empirical approach and felt motivated to publish a positive result we might have seized on this correlation and made it the central focus of our research report. This possibility, capitalizing on chance, underlines the value of the registered reports framework for documenting the hypothesis generation and testing process and formalized data-driven approaches for exploratory data analysis such as specification curve analysis [83]. In isolation, a cherry-picked result such as this might add undue weight to the moral panic surrounding electronic gaming. Study preregistration and registered reports act as bulwark against drawing such post hoc inferences.</p> <p>Â </p> <p>This is among the first studies to test the effects of violent gaming on human aggression using a preregistered hypothesis-testing framework and the first to do so following the registered reports protocol. The results provide confirmatory evidence that violent video game engagement, on balance, is not associated with observable variability in adolescentsâ€™ aggressive behaviour. A healthy ecosystem of exploratory and registered research reports will enable scientists to conduct metanalytic research to evaluate the inferences drawn from these methodologies. Only then will we be able to examine the pathways by which aggressive play might relate to real-world aggression in novel, incremental and empirically robust ways. With this evidence in hand, we will be able to judge if the attention and resources allocated to this topic, spent at the expense of other important questions of the digital age, is empirically justified.</p>","Przybylski, Andrew K.; Weinstein, Netta","include; note"
"<p>The Registered Report format encourages authors to think more carefully about study design, analysis, and interpretation and thereby promotes better scientific practice.</p> <p>in an ideal world such experiment justification would be part of the majority of scientific reports; in this regard the introduction and methods sections of a Registered Report format should be little different from regular submissions.In practice, we find that very few current manuscripts provide adequate justification for the reported experimental design. More often, the justification that an experiment is adequate is based on the finding that the data show the anticipated effect. Assuming authors are being honest and fully reporting their findings, such data contingent justification appears to be partly based on luck, which does not seem viable for the progress of science over the long term. Of course, luck will always be a part of scientific work (if for no other reason than that experiments depend on a random sample), but the Registered Report format should motivate scientists to design experiments that remove the need for it.</p> <p>Â </p> <p>Of course, in principle it would be difficult to know whether the submitting authors have already gathered their data and now simply play a game called â€œRegistered Reportsâ€. However, we believe in the integrity of researchers and we feel it is likely that authors would use traditional submission formats with data already at hand â€“ indeed, we suspect many authors will greatly improve their experimental design based on reviewer feedback, which would render any already gathered data moot. The Registered Report format is not a cure-all for scientific practice. It is possible for a Registered Report to contain poor science, and it is possible for excellent science to be done without a Registered Report. In an ideal world, every article would include proper justification for experimental design, data collection, measurement, and analysis. For a variety of reasons, that kind of justification is not common in the present state of the field. We anticipate that the Registered Report format will encourage development and description of such justifications so that they become the norm for scientific reporting.</p>","Francis, Gregory; Bachmann, Talis","include; announcement_RRs; note"
"<p>With this format[RR], acceptance in principle happens before the research outcomes are known. As a result, publication bias is neutralized, as are incentives for practices that undermine the validity of scientific research.</p> <p>Â </p> <p>Nature Human Behaviour is committed to supporting robust scientific practices and the adoption of the registered report format is one step in this direction. Registered reports shift the emphasis from the results of research to the questions that guide the research and the methods used to answer them. As such, the format aims to counteract a host of problems associated with results-based publication that threaten the integrity of the scientific method</p> <p>Â </p> <p>With registered reports, initial peer review and in-principle acceptance occur prior to data collection (Fig. 1). As a result, the decision to publish is not affected by the significance or direction of the results, but rather by the importance of the research question and the strength of the methods. Peer review after data collection ensures that the agreed protocol has been adhered to, but cannot be used to revoke a positive decision based on the outcomes</p> <p>Â </p> <p>The format in Nature Human Behaviour is available for hypothesis-driven quantitative research where the data have not yet been collected (and are not already available for secondary analyses).</p> <p>Â </p> <p>By offering the registered report format, it is the journalâ€™s intention to support the research communityâ€™s efforts for transparency, reproducibility, and open sharing. Some have questioned whether the format curtails creativity and the exploration of serendipitous findings4. However, this is by no means the case: although authors are required to adhere to the accepted protocol, there are no restrictions on the reporting of unplanned, unregistered analyses. We only ask that unregistered analyses be flagged as such, so that readers can discriminate between pre-registered and unregistered analyses. We further offer incremental registration (with fast-track peer review), so that authors have the option to add experiments to approved submissions. This is particularly appropriate in cases where an initial experiment leads to a serendipitous finding that warrants follow-up in the same paper. The registered report format is not suitable for all types of research and we will be offering it alongside our other research formats. However, we strongly encourage those scientists engaged in hypothesis-driven quantitative research to consider submitting their work as a registered report â€” there is nothing to lose, but much to gain.</p>","Anonymous","include; announcement_RRs; note"
"<p>One relatively new initiative, which aims to enhance integrity and combat the risks of publication bias in scientific journals, has been the emergence of registered reports</p> <p>This represents a significant change of direction from the conventional and timeâ€tested approach to publishing and reviewing. Initially developed by the Center of Open Science, this initiative has the potential to enhance rigour of the research and deal with potential sources of publication bias. Several healthâ€related disciplines, including neuroscience and psychology, have already launched registered reports within their academic journals. Within themselves, registered reports may not completely resolve risks of scientific publication bias in research. However, with each published registered report it is envisaged that scientific rigour will be enhanced, giving encouragement to other researchers to embrace this innovative approach towards best practice in dissemination of their research.</p> <p>For the sceptic, the launch of registered reports may appear to place a greater burden the author, with one more step in the publication workflow; however, the twoâ€step Journal of Clinical Nursing procedure outlined in the next section of this editorial reveals a relatively straightforward process. [standard description of RR process]</p> <p>Â </p> <p>Although this process will change the publication workload for some nurse researchers, change will potentially bring with it additional benefits. A wellâ€reviewed registered report may clarify potential distinctions between confirmatory and exploratory research and has the potential to enhance the planning process for the experimental researcher, and at some point in the research process, every author needs to address all of the required research steps, regardless of the mode of publication. Perhaps the most tangible benefit for individual researchers from taking the registered report route to publication is to have their manuscripts accepted, in principal, prior to knowing the findings. In addition, it could be argued that providing feedback earlier in the process may allow for correction of any methodological matters prior to commencing the study, potentially improving the research rigour of the published paper. It may also be argued that this process may enhance the impact of the research leading to more citations. Enhancing the integrity of research, the registered report may also act to counteract post hoc hypothesising, lack of data sharing and a paucity of replication studies.</p> <p>Â </p> <p>In experimental and translational nursing research, this exciting new initiative moves the decision to publish towards the quality of work, as opposed to the final study outcomes. In line with other highâ€quality biomedical journals, Journal of Clinical Nursing encourages the submission of registered reports. We believe that registered reports will offer the proactive researcher with a means to enhance and demonstrate the transparency and reproducibility of their work</p> <p>Â </p> <p>Moving the goalposts of the primary review to before data has been collected has the potential, providing it meets predetermined criteria, to ensure that the bestâ€quality studies are published regardless of findings, reducing the issues commonly associated with publication bias. As such, registered reports provide a good fit to enhance the transparency of interventional studies, which can only be a good thing for translational nursing research. They will also allow our readers to be more confident about the reproducibility of a study. Although not a oneâ€shot fix for all publishing issues, registered reports provide a clear movement in the right direction, ensuring best practice throughout the entire publication process.</p> <p>Â </p>","Smith, Graeme D.; Penny, Kay I.","include; announcement_RRs; note"
"<p>When considered together, the present study and replication attempt cast doubt on the replicability of the original study. This is for three major reasons...The third reason is that the present study was fully preregistered, while our original study was not. Because all primary analyses and exclusion criteria were determined before data collection took place, the present study had few experimenter degrees of freedom that could have inflated the rate of false positives. In contrast, our original study had undisclosed flexibility in statistical analyses, exclusion criteria, and the content of hypotheses, increasing the chance that at least some of those positive findings were false. Indeed, several procedures in the original study lacked details or explicit justification, giving us the opportunity to inadvertently adjust data in support of our hypotheses. For example, we did not justify log-transforming commission error rates before correlating them with DERN amplitudes, and did not perform this same transformation for error rates when they were compared across groups. Inconsistent transformation procedures without explicit justification are not evidence of phacking, but do reveal the analytic flexibility that was available to us in our statistical procedures at the time.</p>","Elkins-Brown, Nathaniel; Saunders, Blair; Inzlicht, Michael","Replication; reliability; false discovery rate; motivation; Anxiety; include; performance; punishment; brain activity; ern; note; anterior cingulate; anxiety; Emotion; Misattribution; responsiveness"
"<p>One proposed solution intended to improve the quality of published research is the Registered Reports model ... In contrast to conventional research articles, publishing decisions for Registered Reports are based on the importance of the research question and the methods proposed to answer that question. Critically, this decision is made before data collection has begun. This has the important advantage of reducing opportunity and incentives for biased research practices (eg, leveraging analytical flexibility to achieve statistical â€œsignificanceâ€), raising standards of methodological disclosure and statistical power, and avoiding publication bias (by offering in principle acceptance before the results are known).</p>","Munafo, Marcus R.","include; nicotine; note; announcement_funder_rr_partnership; funder_rr_partnerships; tobacco research"
"<div data-canvas-width=""576.1173600000001"">This new submission category [RR] is designed to provide researchers with a route to investigate controversial topics and address issues of replication and reproducibility</div> <div data-canvas-width=""576.1173600000001""> <div data-canvas-width=""495.2642399999998"">Inviting Registered Reports is one of several steps that the journal is taking to acknowledge changes in the landscape of scientific publishing (see Pexman, 2017). We are also interested in providing a formal mechanism for scientists to engage in principled, productive, and positive exchanges when discussing con-troversial problems, such as issues of replication and reproducibility. Thus, if an author wants to examine the reproducibility of a published experiment, that author should prepare the manuscript as if the journal will invite an author of the original paper to serve as a reviewer. Given that practice, we expect that authors who submit Registered Reports that investigate the reproducibility of a published experiment will (a) treat the work that they want to address with a professional attitude, (b) treat the researchers who published the original work with respect, and (c) present their motivations and conclusions in a productive and constructive manner</div> </div>","Jamieson, Randall K.; Bodner, Glen E.; Saint-Aubin, Jean; Titone, Debra","include; announcement_RRs; note"
